vendorId,batchId,productId,initialPH,hoursSinceManufacture,hasRefrigerator,storageType,ambientTemperatureC,humidityPct,fridgeTemperatureC,hoursOnShelf,sellThroughRate,effectiveTemperatureExposure,hoursToExpiry,volumeKg,vendorRating,riskLabel
V100,B20000,Idly_Batter,4.396,62.7,1,counter,31.8,65.2,4.9,27.2,0.96,309.9,153.3,1,4.16,High
V101,B20001,Idly_Batter,4.468,68.0,0,backroom,37.0,61.2,-1.0,58.1,0.43,2519.4,0.0,2,3.66,High
V102,B20002,Dosa_Batter,4.518,82.6,0,backroom,26.5,76.7,-1.0,72.0,0.32,2191.5,0.0,1,4.26,High
V103,B20003,Idly_Batter,4.461,14.6,1,backroom,34.3,54.6,6.3,5.4,0.29,91.6,201.4,1,4.44,Medium
V104,B20004,Dosa_Batter,4.47,84.8,0,counter,31.8,55.0,-1.0,23.1,0.37,2697.7,0.0,5,3.9,High
V105,B20005,Idly_Batter,4.417,85.2,1,counter,30.3,62.8,5.4,55.8,0.89,457.7,130.8,1,4.78,High
V106,B20006,Dosa_Batter,4.432,31.4,1,fridge,32.3,58.4,4.7,6.7,0.83,146.7,184.6,10,3.52,Medium
V107,B20007,Dosa_Batter,4.423,69.9,1,fridge,30.2,76.6,7.2,56.8,0.21,506.6,146.1,2,5.0,High
V108,B20008,Combo_Pack,4.449,67.9,0,counter,31.6,80.3,-1.0,27.8,0.47,2147.5,0.0,1,3.67,High
V109,B20009,Combo_Pack,4.508,77.8,1,counter,27.2,58.0,4.9,13.0,0.45,377.6,138.2,2,3.51,High
V110,B20010,Dosa_Batter,4.409,62.4,0,counter,32.3,69.3,-1.0,43.6,0.15,2015.0,0.0,1,4.91,High
V111,B20011,Idly_Batter,4.467,76.0,1,fridge,27.1,85.1,7.0,9.9,0.1,529.0,140.0,1,3.64,High
V112,B20012,Idly_Batter,4.472,49.0,1,fridge,31.7,68.5,6.3,6.1,0.65,306.9,167.0,5,4.36,High
V113,B20013,Combo_Pack,4.453,24.5,0,counter,32.2,74.5,-1.0,16.5,0.78,790.1,23.5,10,3.31,High
V114,B20014,Combo_Pack,4.419,40.0,1,counter,30.2,80.3,4.6,30.3,0.03,184.7,176.0,10,4.79,High
V115,B20015,Idly_Batter,4.449,70.7,1,counter,28.8,66.4,4.8,62.0,0.43,341.7,145.3,10,3.65,High
V116,B20016,Combo_Pack,4.453,22.8,0,counter,31.0,50.5,-1.0,0.7,0.17,708.1,25.2,1,4.39,High
V117,B20017,Combo_Pack,4.376,0.3,1,backroom,27.2,81.6,8.8,0.1,0.22,2.9,215.7,10,4.31,Low
V118,B20018,Dosa_Batter,4.482,31.3,1,fridge,24.0,53.1,6.4,18.3,0.52,200.6,184.7,5,4.0,High
V119,B20019,Dosa_Batter,4.438,60.2,1,fridge,31.5,62.5,5.2,2.7,0.46,315.7,155.8,10,4.04,High
V120,B20020,Combo_Pack,4.478,24.2,1,backroom,32.5,74.7,7.4,14.1,0.39,178.2,191.8,2,4.31,High
V121,B20021,Combo_Pack,4.469,90.5,1,counter,33.1,88.1,5.9,80.8,0.79,536.9,125.5,5,3.58,High
V122,B20022,Dosa_Batter,4.503,34.7,0,backroom,29.3,72.2,-1.0,9.9,0.72,1016.3,13.3,1,3.64,High
V123,B20023,Dosa_Batter,4.458,47.7,0,backroom,26.6,65.4,-1.0,42.0,0.31,1267.6,0.3,1,4.97,High
V124,B20024,Dosa_Batter,4.481,61.1,1,backroom,29.9,76.8,5.9,4.6,0.8,358.8,154.9,1,4.56,High
V100,B20025,Idly_Batter,4.45,58.2,1,backroom,30.1,67.0,6.8,52.9,0.27,395.7,157.8,2,3.91,High
V101,B20026,Dosa_Batter,4.448,86.1,1,backroom,30.0,83.2,6.1,70.8,0.18,524.8,129.9,10,4.13,High
V102,B20027,Idly_Batter,4.398,92.8,1,fridge,34.3,49.0,6.1,35.9,0.59,570.5,123.2,1,4.92,High
V103,B20028,Idly_Batter,4.435,14.7,1,fridge,28.0,69.0,4.1,11.3,0.6,60.8,201.3,1,4.37,Low
V104,B20029,Combo_Pack,4.448,15.8,0,backroom,28.5,75.9,-1.0,15.4,0.68,450.2,32.2,2,4.86,High
V105,B20030,Idly_Batter,4.439,59.2,1,counter,33.1,80.6,6.9,18.7,0.48,410.6,156.8,1,3.89,High
V106,B20031,Combo_Pack,4.4,60.2,0,backroom,34.1,71.4,-1.0,6.2,0.33,2050.6,0.0,1,4.05,High
V107,B20032,Combo_Pack,4.46,4.4,0,counter,32.3,74.7,-1.0,0.6,0.56,143.0,43.6,10,4.83,High
V108,B20033,Dosa_Batter,4.429,74.0,0,backroom,32.9,63.2,-1.0,57.0,0.46,2436.0,0.0,5,4.24,High
V109,B20034,Combo_Pack,4.469,72.8,1,backroom,26.3,68.3,4.2,8.1,0.14,302.4,143.2,5,4.2,High
V110,B20035,Combo_Pack,4.541,38.3,1,fridge,36.4,74.4,4.7,27.9,0.66,181.7,177.7,10,4.56,High
V111,B20036,Combo_Pack,4.446,84.9,1,fridge,34.8,67.6,4.5,84.4,0.45,385.9,131.1,5,4.04,High
V112,B20037,Combo_Pack,4.424,52.3,1,backroom,33.6,89.8,4.1,18.0,0.48,212.7,163.7,10,4.27,High
V113,B20038,Dosa_Batter,4.478,6.9,1,counter,33.8,84.5,5.7,1.4,0.36,39.4,209.1,2,4.02,Low
V114,B20039,Idly_Batter,4.425,4.2,1,counter,33.0,67.5,5.4,1.8,0.44,22.7,211.8,10,3.87,Low
V115,B20040,Idly_Batter,4.501,91.8,1,backroom,33.2,68.5,5.7,28.5,0.25,522.0,124.2,2,4.34,High
V116,B20041,Idly_Batter,4.455,61.7,0,counter,31.9,79.8,-1.0,51.5,0.75,1966.5,0.0,10,4.79,High
V117,B20042,Dosa_Batter,4.442,13.9,0,counter,35.7,72.7,-1.0,9.5,0.68,496.7,34.1,2,4.45,High
V118,B20043,Combo_Pack,4.464,52.1,1,fridge,28.1,62.8,5.2,7.2,0.71,271.2,163.9,1,4.2,High
V119,B20044,Idly_Batter,4.455,66.2,1,backroom,28.4,67.2,5.8,14.1,0.85,386.2,149.8,10,4.31,High
V120,B20045,Combo_Pack,4.431,29.5,0,backroom,32.6,81.2,-1.0,9.2,0.63,961.9,18.5,2,4.16,High
V121,B20046,Combo_Pack,4.466,84.4,1,counter,31.8,62.6,8.6,77.1,0.26,728.3,131.6,5,4.09,High
V122,B20047,Dosa_Batter,4.45,75.8,0,backroom,31.8,83.3,-1.0,47.2,0.39,2410.4,0.0,10,4.52,High
V123,B20048,Combo_Pack,4.466,57.8,1,backroom,35.6,73.7,3.5,22.7,0.23,199.6,158.2,10,4.91,High
V124,B20049,Idly_Batter,4.526,15.5,0,counter,31.0,81.3,-1.0,6.9,0.49,481.8,32.5,5,4.21,High
V100,B20050,Idly_Batter,4.424,62.0,1,fridge,28.8,55.4,4.1,27.0,0.42,256.2,154.0,10,3.64,High
V101,B20051,Combo_Pack,4.468,6.7,1,backroom,30.0,56.4,4.1,2.2,0.12,27.7,209.3,1,4.8,Low
V102,B20052,Combo_Pack,4.477,64.8,0,counter,31.8,68.4,-1.0,43.2,0.69,2057.5,0.0,5,4.73,High
V103,B20053,Combo_Pack,4.476,60.5,0,counter,28.9,69.0,-1.0,18.3,0.16,1746.0,0.0,2,4.21,High
V104,B20054,Idly_Batter,4.444,26.7,1,fridge,29.4,61.3,5.9,15.6,0.16,156.9,189.3,1,3.97,High
V105,B20055,Idly_Batter,4.452,84.5,0,backroom,32.1,64.0,-1.0,77.6,0.23,2715.8,0.0,1,3.72,High
V106,B20056,Combo_Pack,4.452,63.4,1,backroom,29.0,68.8,7.4,62.6,0.54,469.4,152.6,1,4.0,High
V107,B20057,Dosa_Batter,4.398,88.9,1,counter,30.3,72.1,3.9,22.0,0.24,345.2,127.1,2,4.03,High
V108,B20058,Combo_Pack,4.457,45.5,0,backroom,26.8,61.8,-1.0,1.8,0.46,1221.9,2.5,10,3.9,High
V109,B20059,Dosa_Batter,4.451,64.8,0,counter,32.2,61.0,-1.0,50.7,0.7,2089.2,0.0,5,4.21,High
V110,B20060,Dosa_Batter,4.364,52.2,1,counter,29.1,69.6,3.9,25.5,0.63,201.3,163.8,2,4.58,High
V111,B20061,Idly_Batter,4.539,18.4,1,fridge,29.3,66.8,7.8,13.8,0.58,143.2,197.6,10,4.5,High
V112,B20062,Dosa_Batter,4.454,74.1,1,fridge,31.6,92.3,4.5,21.7,0.11,337.1,141.9,10,4.55,High
V113,B20063,Idly_Batter,4.422,68.7,0,backroom,31.5,76.1,-1.0,34.0,0.53,2163.0,0.0,1,4.37,High
